Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burundi,0.245143614,0.330385696,0.269957991,0.29916159,0.310821039,0.306796174,0.32675795,0.33452496,0.352809079,0.362618805,0.336744946,0.264557245,0.244577683,0.203104364,0.243586293,0.206407435,0.254830821,0.406141933,0.243165468,0.242948897,0.349151581,0.418339259,0.399318033,0.448190058,0.401017439,0.424527148,0.464543676,0.531349131,0.705868146,0.745875159
Belgium,116.6336244,120.5412715,118.4503306,116.5344208,121.6507721,122.9061782,127.7237156,124.6917081,128.1187189,123.8122271,125.7380088,126.8305011,119.433173,124.3581016,123.4418642,119.3441262,117.6515212,113.8372469,115.563441,107.3646813,115.2549243,104.9321164,103.4694042,104.9563847,98.02021814,102.7739291,101.681383,100.1174498,100.8413877,100.294369
Benin,0.415194866,0.367581502,0.399250353,0.404701271,0.411650431,0.420266618,1.098236029,1.390303568,1.340208036,1.473423084,1.571846186,1.884436459,2.174582688,2.43269967,2.59198042,2.838678669,3.897231957,4.42917627,4.397885465,4.716208619,5.107886337,4.986622735,4.750553258,4.995977761,5.484359271,5.831491688,7.125436575,7.263857589,8.269118725,8.117105317
Burkina Faso,0.412691379,0.55036736,0.489700892,0.513619245,0.56060402,0.576366838,0.629539145,1.020311567,0.962273432,0.99187033,1.014601303,1.144786943,1.187908292,1.312909649,1.188855462,1.26693342,1.26721285,1.783415454,2.057195444,1.978411266,2.122459194,2.228668853,2.569166206,3.001788263,2.70397822,3.812530064,3.733700924,4.405564478,4.801420482,5.002361763
Bangladesh,14.40761994,13.70647315,15.32146918,16.17292862,17.47019699,21.29645619,21.67503565,23.31626918,23.8251357,25.48258595,27.5636586,32.33845889,34.04484601,35.49061768,37.48646818,39.94244179,42.94457177,45.42565038,50.81222738,53.90865199,59.80432921,63.62432344,67.22202336,69.5683056,73.23457201,83.5250138,85.5940908,91.4026391,96.70212054,104.8367314
Bulgaria,79.13781673,64.45635857,61.72209335,62.51201084,59.77864979,61.02163847,61.44973541,59.21562868,56.59257348,49.89753366,47.82350676,49.83700845,47.02350586,52.90880607,50.83667053,51.96676122,53.09775823,56.8687152,53.76137498,45.66622639,48.22935817,53.55058408,48.63097826,43.38151709,45.87206095,48.40359048,45.58729198,47.79028824,44.91957747,43.06376122
Bahrain,11.98677354,11.55937834,13.60656533,14.71830983,14.99116104,15.23755019,15.78986608,16.25412433,17.22834978,17.3192571,17.76687485,18.40215034,19.21949249,19.88831455,19.91353226,23.36336457,25.44215543,25.84503157,27.66235652,27.64884322,28.82842955,28.99436128,30.21020469,32.12185179,33.30776469,33.47600786,33.48795139,33.76812509,34.04226712,36.74809856
Bahamas,2.829981503,2.683818402,2.4253277,2.385736474,2.551723226,2.884843208,3.27080421,3.039041455,3.380309219,3.161554872,3.398758759,3.441855461,3.424935099,2.768578046,3.055822097,2.830057743,3.114357083,3.52042785,3.429331909,2.901124318,3.211175626,3.306745865,4.017615861,3.903360529,3.839673981,3.624384039,3.734094932,3.869376101,4.457246585,4.401421569
Bosnia and Herzegovina,24.67621229,22.09077012,16.32060037,13.70658442,3.381683338,3.593701503,4.478289779,8.804203071,11.13526159,10.97996758,14.36492742,14.18046979,14.91189425,15.27203142,16.11609859,16.92563687,18.76857517,19.80162853,21.73295515,21.73653297,22.27157137,25.32020399,23.37843759,23.28571984,20.87166099,20.90066923,23.55538324,24.03863484,24.13868712,22.77247682
Belarus,108.9908971,104.7516622,94.59580802,81.45777994,68.95513547,61.65359807,62.62876627,63.2328546,61.50875223,59.11920491,56.92115892,55.80475888,56.1514825,56.8757945,60.34369667,61.2957826,63.69858222,62.27536522,65.47038036,62.29977341,66.71810473,63.66694097,64.98907219,64.84255964,64.25708442,59.81461121,59.90361218,61.06673071,64.28204293,62.03648026
